,大阪,大阪,大阪,大阪
年月日,降水量の合計(mm),降水量の合計(mm),最高気温(℃),最低気温(℃)
,,,,
,,現象なし情報,,
2015/1/1,0.0,0.0,5.5,0.3
2015/1/2,0.0,0.0,6.8,1.4
2015/1/3,0.0,1.0,7.7,0.8
2015/1/4,0.0,0.0,10.5,1.2
2015/1/5,0.0,1.0,12.2,4.1
2015/1/6,11.5,0.0,10.8,5.7
2015/1/7,0.0,0.0,9.8,3.6
2015/1/8,0.0,0.0,8.0,3.5
2015/1/9,1.0,0.0,8.2,4.5
2015/1/10,0.0,0.0,9.6,4.8
2015/1/11,0.0,0.0,11.0,4.7
2015/1/12,0.0,1.0,8.0,2.5
2015/1/13,0.0,0.0,8.9,2.9
2015/1/14,0.0,0.0,9.0,1.2
2015/1/15,27.0,0.0,8.4,5.4
2015/1/16,0.0,1.0,9.9,5.5
2015/1/17,1.0,0.0,8.9,3.8
2015/1/18,0.0,0.0,9.1,2.0
2015/1/19,0.0,0.0,11.4,3.6
2015/1/20,0.0,0.0,10.3,3.4
2015/1/21,0.0,0.0,10.2,1.4
2015/1/22,14.5,0.0,9.6,6.9
2015/1/23,1.5,0.0,10.0,4.9
2015/1/24,0.0,1.0,10.5,2.9
2015/1/25,0.0,1.0,11.5,3.6
2015/1/26,24.5,0.0,10.6,5.9
2015/1/27,2.5,0.0,14.1,4.6
2015/1/28,0.0,0.0,7.7,1.8
2015/1/29,0.0,0.0,5.8,0.8
2015/1/30,9.5,0.0,6.9,3.3
2015/1/31,0.0,0.0,6.5,1.5
2015/2/1,0.0,0.0,7.4,0.2
2015/2/2,0.0,0.0,7.0,3.0
2015/2/3,0.0,0.0,8.0,4.4
2015/2/4,0.0,1.0,10.6,3.2
2015/2/5,0.0,0.0,10.1,4.8
2015/2/6,0.0,0.0,8.8,3.2
2015/2/7,0.0,0.0,10.9,0.8
2015/2/8,1.5,0.0,11.3,1.3
2015/2/9,0.0,0.0,4.9,0.0
2015/2/10,0.0,1.0,8.6,1.1
2015/2/11,0.0,1.0,12.3,5.4
2015/2/12,0.5,0.0,11.8,3.5
2015/2/13,0.0,0.0,7.8,2.0
2015/2/14,0.0,1.0,9.4,1.4
2015/2/15,0.0,0.0,10.5,3.4
2015/2/16,0.0,0.0,12.2,2.0
2015/2/17,3.5,0.0,10.3,4.9
2015/2/18,0.0,0.0,10.7,5.7
2015/2/19,0.0,0.0,9.8,4.4
2015/2/20,0.0,0.0,10.1,3.4
2015/2/21,0.0,0.0,14.7,1.1
2015/2/22,7.5,0.0,15.7,8.4
2015/2/23,0.0,0.0,15.0,8.4
2015/2/24,0.0,1.0,13.1,7.1
2015/2/25,0.0,1.0,13.4,5.8
2015/2/26,12.5,0.0,10.6,6.8
2015/2/27,0.0,0.0,10.4,3.7
2015/2/28,0.0,0.0,10.9,3.9
2015/3/1,24.5,0.0,9.9,5.5
2015/3/2,0.0,0.0,10.9,5.1
2015/3/3,11.5,0.0,11.7,3.2
2015/3/4,4.0,0.0,13.8,5.6
2015/3/5,0.0,0.0,9.4,4.4
2015/3/6,0.0,0.0,12.1,4.1
2015/3/7,19.5,0.0,9.7,6.8
2015/3/8,0.5,0.0,13.2,7.2
2015/3/9,18.5,0.0,11.8,6.8
2015/3/10,0.0,0.0,8.9,0.8
2015/3/11,0.0,0.0,7.2,0.7
2015/3/12,0.0,0.0,11.3,4.2
2015/3/13,0.0,1.0,13.6,2.5
2015/3/14,4.5,0.0,11.9,4.7
2015/3/15,1.5,0.0,11.6,4.7
2015/3/16,0.0,0.0,17.7,9.1
2015/3/17,0.0,1.0,19.5,8.0
2015/3/18,46.0,0.0,21.4,11.0
2015/3/19,39.0,0.0,17.8,12.6
2015/3/20,0.0,1.0,19.6,10.0
2015/3/21,0.0,0.0,19.0,8.0
2015/3/22,0.0,0.0,19.6,9.0
2015/3/23,0.0,0.0,12.0,6.6
2015/3/24,0.0,0.0,10.3,4.6
2015/3/25,0.0,0.0,12.3,3.8
2015/3/26,0.0,1.0,14.4,2.9
2015/3/27,0.0,1.0,17.3,5.1
2015/3/28,0.0,1.0,20.5,9.0
2015/3/29,5.0,0.0,14.8,10.6
2015/3/30,0.0,1.0,19.9,8.5
2015/3/31,0.0,1.0,23.0,9.6
2015/4/1,3.0,0.0,18.0,12.8
2015/4/2,0.0,1.0,22.7,10.6
2015/4/3,4.0,0.0,22.8,14.8
2015/4/4,0.0,0.0,25.1,14.3
2015/4/5,8.0,0.0,17.7,14.7
2015/4/6,11.5,0.0,17.1,10.5
2015/4/7,3.5,0.0,11.7,9.0
2015/4/8,5.0,0.0,11.0,4.4
2015/4/9,0.0,0.0,17.4,6.4
2015/4/10,17.0,0.0,12.0,9.9
2015/4/11,2.5,0.0,16.3,9.8
2015/4/12,0.0,1.0,20.1,7.8
2015/4/13,7.0,0.0,17.0,11.5
2015/4/14,14.5,0.0,17.1,12.0
2015/4/15,1.0,0.0,15.5,10.0
2015/4/16,0.0,1.0,21.4,10.8
2015/4/17,0.0,0.0,19.7,11.8
2015/4/18,0.0,1.0,21.8,8.6
2015/4/19,0.5,0.0,22.0,14.6
2015/4/20,26.5,0.0,22.6,14.3
2015/4/21,3.0,0.0,17.8,10.2
2015/4/22,0.0,1.0,23.7,9.0
2015/4/23,0.0,1.0,23.6,12.6
2015/4/24,0.0,1.0,23.9,13.1
2015/4/25,0.0,1.0,25.2,13.8
2015/4/26,0.0,1.0,24.6,12.5
2015/4/27,0.0,1.0,25.9,15.0
2015/4/28,0.0,1.0,24.1,17.4
2015/4/29,0.0,0.0,23.4,17.0
2015/4/30,0.0,1.0,27.0,15.5
2015/5/1,0.0,1.0,28.0,16.2
2015/5/2,0.0,1.0,30.2,17.2
2015/5/3,4.0,0.0,25.7,16.6
2015/5/4,1.0,0.0,24.1,17.5
2015/5/5,0.0,1.0,24.5,14.7
2015/5/6,0.0,1.0,24.9,15.2
2015/5/7,1.0,0.0,25.7,17.6
2015/5/8,0.0,0.0,26.8,15.3
2015/5/9,0.5,0.0,20.7,16.9
2015/5/10,0.0,1.0,25.5,13.6
2015/5/11,0.0,0.0,25.8,12.1
2015/5/12,32.0,0.0,24.5,15.2
2015/5/13,0.0,1.0,25.5,13.7
2015/5/14,1.5,0.0,26.5,18.0
2015/5/15,0.0,1.0,28.3,18.3
2015/5/16,45.0,0.0,23.9,17.3
2015/5/17,0.0,1.0,27.3,14.7
2015/5/18,6.5,0.0,27.5,16.2
2015/5/19,9.5,0.0,27.1,17.8
2015/5/20,3.0,0.0,28.4,13.3
2015/5/21,0.0,0.0,23.0,13.1
2015/5/22,0.0,1.0,26.9,15.4
2015/5/23,0.0,1.0,25.2,18.4
2015/5/24,0.0,0.0,29.2,19.2
2015/5/25,0.0,1.0,29.0,18.5
2015/5/26,0.0,1.0,29.1,20.0
2015/5/27,0.0,1.0,31.3,18.2
2015/5/28,0.0,1.0,30.5,20.7
2015/5/29,0.0,1.0,31.2,21.3
2015/5/30,0.0,0.0,31.0,21.7
2015/5/31,0.0,0.0,28.7,19.9
2015/6/1,0.0,1.0,30.4,18.2
2015/6/2,0.5,0.0,28.8,22.0
2015/6/3,44.5,0.0,23.9,18.3
2015/6/4,0.0,1.0,27.7,16.4
2015/6/5,18.5,0.0,18.9,14.4
2015/6/6,1.0,0.0,24.8,14.4
2015/6/7,0.0,1.0,25.9,15.9
2015/6/8,5.5,0.0,24.8,18.8
2015/6/9,31.5,0.0,22.4,18.3
2015/6/10,0.0,1.0,29.1,17.7
2015/6/11,7.5,0.0,24.7,19.2
2015/6/12,5.5,0.0,29.6,19.2
2015/6/13,0.0,0.0,31.9,20.8
2015/6/14,0.0,0.0,26.3,21.9
2015/6/15,0.0,1.0,29.5,21.4
2015/6/16,2.5,0.0,26.4,21.0
2015/6/17,0.0,0.0,30.4,20.3
2015/6/18,5.5,0.0,25.1,19.1
2015/6/19,9.5,0.0,23.4,17.9
2015/6/20,0.0,0.0,29.0,20.9
2015/6/21,13.5,0.0,29.1,20.3
2015/6/22,0.0,1.0,27.0,20.3
2015/6/23,0.0,0.0,29.3,21.9
2015/6/24,0.0,1.0,31.5,21.4
2015/6/25,0.0,0.0,30.4,22.4
2015/6/26,31.0,0.0,24.3,21.2
2015/6/27,0.0,0.0,25.3,21.3
2015/6/28,0.0,0.0,26.0,19.8
2015/6/29,0.0,1.0,28.8,19.4
2015/6/30,19.5,0.0,28.8,19.3
2015/7/1,44.0,0.0,26.6,19.3
2015/7/2,0.0,0.0,29.0,22.4
2015/7/3,8.5,0.0,28.9,20.6
2015/7/4,11.0,0.0,24.6,20.1
2015/7/5,1.0,0.0,24.7,19.7
2015/7/6,0.5,0.0,23.5,21.0
2015/7/7,12.0,0.0,24.1,21.4
2015/7/8,1.0,0.0,28.5,22.3
2015/7/9,0.5,0.0,31.3,23.4
2015/7/10,0.5,0.0,32.8,23.9
2015/7/11,0.0,1.0,32.2,24.7
2015/7/12,0.0,1.0,33.0,24.9
2015/7/13,0.0,1.0,34.1,27.0
2015/7/14,0.0,1.0,33.5,27.6
2015/7/15,0.0,0.0,34.5,25.4
2015/7/16,13.0,0.0,29.7,23.5
2015/7/17,155.5,0.0,26.3,23.1
2015/7/18,55.0,0.0,29.7,21.9
2015/7/19,0.0,0.0,32.7,24.2
2015/7/20,0.0,1.0,33.2,25.3
2015/7/21,0.0,0.0,32.5,25.3
2015/7/22,31.0,0.0,28.3,23.4
2015/7/23,22.5,0.0,27.9,23.8
2015/7/24,0.0,1.0,32.1,24.3
2015/7/25,0.0,1.0,32.4,25.4
2015/7/26,0.0,1.0,33.6,25.9
2015/7/27,0.0,0.0,33.5,26.9
2015/7/28,0.0,0.0,33.1,26.3
2015/7/29,1.0,0.0,33.8,26.0
2015/7/30,1.0,0.0,33.7,26.6
2015/7/31,0.0,1.0,36.2,26.6
2015/8/1,0.0,1.0,37.5,27.5
2015/8/2,0.0,1.0,36.4,28.1
2015/8/3,0.0,1.0,36.2,27.9
2015/8/4,0.0,1.0,36.3,27.8
2015/8/5,0.0,1.0,36.7,27.6
2015/8/6,3.5,0.0,35.1,27.9
2015/8/7,0.0,0.0,36.4,28.0
2015/8/8,13.0,0.0,38.0,25.1
2015/8/9,0.0,1.0,36.5,26.3
2015/8/10,0.0,0.0,36.3,27.0
2015/8/11,0.0,1.0,34.7,26.1
2015/8/12,14.0,0.0,33.1,24.8
2015/8/13,37.0,0.0,32.3,23.3
2015/8/14,0.0,1.0,32.3,26.6
2015/8/15,0.0,1.0,34.3,24.7
2015/8/16,6.0,0.0,32.2,23.7
2015/8/17,28.5,0.0,31.6,23.7
2015/8/18,0.0,0.0,33.1,22.9
2015/8/19,2.0,0.0,28.1,23.1
2015/8/20,27.0,0.0,29.2,24.2
2015/8/21,20.0,0.0,32.1,22.5
2015/8/22,0.0,0.0,31.7,25.9
2015/8/23,0.0,1.0,33.1,24.1
2015/8/24,0.0,0.0,32.6,23.2
2015/8/25,10.5,0.0,30.1,24.1
2015/8/26,5.5,0.0,31.5,23.5
2015/8/27,0.0,1.0,32.2,23.8
2015/8/28,0.0,1.0,33.5,23.5
2015/8/29,10.5,0.0,30.9,23.6
2015/8/30,4.5,0.0,27.4,23.3
2015/8/31,3.5,0.0,26.6,23.5
2015/9/1,14.5,0.0,31.7,23.0
2015/9/2,13.0,0.0,30.8,23.6
2015/9/3,15.0,0.0,25.6,22.2
2015/9/4,0.0,0.0,29.9,23.3
2015/9/5,0.0,1.0,29.9,21.4
2015/9/6,7.5,0.0,24.8,21.3
2015/9/7,2.0,0.0,26.0,21.6
2015/9/8,17.5,0.0,23.6,21.0
2015/9/9,37.0,0.0,25.7,20.2
2015/9/10,19.5,0.0,25.7,19.9
2015/9/11,0.0,1.0,26.6,18.0
2015/9/12,0.0,1.0,29.0,18.2
2015/9/13,0.0,0.0,27.8,20.6
2015/9/14,0.0,1.0,27.8,18.3
2015/9/15,0.0,0.0,29.3,18.3
2015/9/16,2.0,0.0,24.5,21.1
2015/9/17,11.5,0.0,23.9,19.1
2015/9/18,0.0,1.0,27.0,18.7
2015/9/19,0.0,1.0,28.0,19.1
2015/9/20,0.0,1.0,28.1,18.1
2015/9/21,0.0,1.0,28.4,19.1
2015/9/22,0.0,1.0,29.6,19.0
2015/9/23,0.0,1.0,30.7,20.7
2015/9/24,8.0,0.0,23.5,20.3
2015/9/25,14.0,0.0,25.3,19.3
2015/9/26,0.0,0.0,28.5,21.0
2015/9/27,1.5,0.0,28.6,20.1
2015/9/28,0.0,1.0,29.4,18.3
2015/9/29,0.0,1.0,28.2,18.7
2015/9/30,0.0,1.0,25.5,17.0
2015/10/1,2.5,0.0,27.9,18.0
2015/10/2,26.5,0.0,27.7,17.9
2015/10/3,0.0,1.0,25.0,15.5
2015/10/4,0.0,1.0,26.5,15.9
2015/10/5,0.0,1.0,21.9,15.4
2015/10/6,0.0,1.0,25.4,15.4
2015/10/7,0.0,1.0,25.7,14.2
2015/10/8,0.0,1.0,24.4,14.7
2015/10/9,0.0,1.0,23.9,16.4
2015/10/10,0.0,0.0,22.7,15.4
2015/10/11,5.0,0.0,23.2,16.3
2015/10/12,0.0,0.0,21.7,14.7
2015/10/13,0.0,1.0,22.9,16.3
2015/10/14,0.0,1.0,23.4,13.5
2015/10/15,0.0,1.0,23.9,13.3
2015/10/16,0.0,1.0,26.5,13.7
2015/10/17,0.0,1.0,25.6,15.2
2015/10/18,0.0,1.0,26.2,15.6
2015/10/19,0.0,1.0,26.2,14.5
2015/10/20,0.0,1.0,26.1,16.4
2015/10/21,0.0,1.0,26.4,16.8
2015/10/22,0.0,1.0,23.2,15.8
2015/10/23,0.0,1.0,24.5,14.0
2015/10/24,0.0,1.0,24.5,15.0
2015/10/25,0.0,0.0,20.6,13.0
2015/10/26,0.0,1.0,21.1,10.0
2015/10/27,6.5,0.0,25.3,12.6
2015/10/28,0.0,0.0,23.1,14.1
2015/10/29,0.0,1.0,20.4,11.9
2015/10/30,0.0,1.0,21.0,12.7
2015/10/31,0.0,1.0,18.4,11.1
2015/11/1,0.0,0.0,17.1,8.7
2015/11/2,10.0,0.0,15.7,12.4
2015/11/3,0.0,1.0,19.7,10.8
2015/11/4,0.0,1.0,23.0,10.3
2015/11/5,0.0,1.0,25.2,14.4
2015/11/6,0.0,1.0,24.9,15.1
2015/11/7,0.0,0.0,22.1,17.7
2015/11/8,22.5,0.0,18.7,16.6
2015/11/9,7.5,0.0,20.7,17.0
2015/11/10,0.0,0.0,21.5,14.4
2015/11/11,0.0,1.0,19.3,11.6
2015/11/12,0.0,1.0,19.9,11.0
2015/11/13,2.5,0.0,18.5,12.9
2015/11/14,4.0,0.0,19.7,16.1
2015/11/15,4.0,0.0,22.1,15.7
2015/11/16,0.0,1.0,22.0,12.0
2015/11/17,23.0,0.0,20.4,16.1
2015/11/18,17.5,0.0,18.1,15.9
2015/11/19,0.0,0.0,16.4,13.7
2015/11/20,0.0,0.0,20.0,12.8
2015/11/21,0.0,1.0,19.3,12.9
2015/11/22,0.0,1.0,18.8,11.9
2015/11/23,0.5,0.0,18.6,14.1
2015/11/24,0.0,0.0,19.3,11.8
2015/11/25,14.0,0.0,12.4,9.1
2015/11/26,6.0,0.0,12.6,9.2
2015/11/27,0.0,0.0,12.5,6.4
2015/11/28,0.0,1.0,14.2,7.3
2015/11/29,0.0,1.0,13.1,6.1
2015/11/30,0.0,1.0,16.6,7.0
2015/12/1,0.0,1.0,15.0,7.4
2015/12/2,3.0,0.0,18.4,5.9
2015/12/3,14.5,0.0,15.1,7.3
2015/12/4,0.5,0.0,11.6,7.0
2015/12/5,0.0,1.0,13.2,8.8
2015/12/6,0.0,1.0,12.6,8.2
2015/12/7,0.0,1.0,15.4,7.4
2015/12/8,0.0,1.0,15.7,5.8
2015/12/9,0.0,1.0,14.7,5.6
2015/12/10,6.0,0.0,17.1,10.3
2015/12/11,49.0,0.0,22.5,12.5
2015/12/12,0.0,0.0,14.6,10.3
2015/12/13,0.0,1.0,15.8,8.5
2015/12/14,0.0,1.0,16.4,9.3
2015/12/15,0.0,0.0,18.3,10.3
2015/12/16,0.0,0.0,15.9,9.3
2015/12/17,0.0,1.0,10.7,5.6
2015/12/18,0.0,1.0,9.6,5.0
2015/12/19,0.0,0.0,11.7,4.8
2015/12/20,0.0,0.0,11.7,2.2
2015/12/21,8.0,0.0,11.7,7.0
2015/12/22,0.0,1.0,15.2,7.4
2015/12/23,7.5,0.0,10.7,6.4
2015/12/24,0.0,0.0,15.9,10.2
2015/12/25,1.5,0.0,13.3,7.3
2015/12/26,0.0,0.0,12.1,4.9
2015/12/27,0.0,0.0,10.8,4.3
2015/12/28,0.0,1.0,9.8,3.0
2015/12/29,0.0,1.0,10.1,2.6
2015/12/30,0.0,1.0,11.3,1.7
2015/12/31,0.0,0.0,11.4,3.2
